puzzleBlueprintId,title,concept,primaryFamily,secondaryFamilies,difficultyTier,intendedProgressionRange,playerFacingModality,accessibilityModalities,reusableComponentRequirementIds,collaborationProfile,requiredTools,outsideResearchExpectation,generatorVersion,answerFormat,serverValidationMethod,uniquenessProofMethod,estimatedSolveTime,hintLevel1,hintLevel2,implementationComplexity,mobileFeasibility,qualityScore,recommendationStatus,prototypeRequired,prototypeDelivered,tutorialConsideration,highComplexityShowpiece
PZB-001,Missing Commas Almanac,"Two short almanac entries contain identical words but different punctuation, spacing, and omissions. Aligning the entries makes the absences index a generated code.",TEXT_LANGUAGE_LITERARY,CRYPTO_NUMERIC_DATA,TIER_1_INITIATE,live assignments 1–10; tutorial-adjacent only,TEXT | DOCUMENT_COMPARE,SCREEN_READER_DATA | KEYBOARD_ONLY | HIGH_CONTRAST | PRINTABLE_WORKSHEET,PUZCMP-ACCESSIBILITY-MODE-SWITCHER | PUZCMP-ANSWER-SUBMISSION | PUZCMP-DOCUMENT-COMPARE | PUZCMP-HINT-PANEL | PUZCMP-PRINTABLE-WORKSHEET | PUZCMP-TIMER-BANNER | PUZCMP-UNDO-RESET-HISTORY,"{""rating"":""SUPPORTED"",""shareable"":[""method"",""tool suggestions"",""partial deductions"",""research sources""],""nonShareable"":[""instance answer"",""validation token"",""server seed""]}",notes,NONE,1.0.0,SIX_DIGIT_CODE,"Normalize only blueprint-declared syntax, then compare with the server-held canonical representation using constant-time equality or validate the submitted arrangement/route against the server-held instance constraints. Client receives only a resolution receipt.",Blueprint-specific exhaustive/CSP/SAT-equivalent solver must return exactly one solution; proof digest is stored with the instance.,10–30 minutes,Bobalus points toward the text language literary representation and suggests the first useful tool without naming an intermediate value.,"Bobalus identifies this operation: Normalize only letter case; retain punctuation and blank positions, align by token ordinal, then read the symbols missing from the second entry. He injects one instance-specific control label, never the final answer.",MEDIUM,FULL,90,TUTORIAL_CANDIDATE,false,false,true,false
PZB-002,Twin-Column Punctuation Echo,"Parallel witness statements look synonymous, but sentence boundaries and em-dash placement encode a coordinate walk through a letter table.",TEXT_LANGUAGE_LITERARY,LOGIC_CONSTRAINT,TIER_1_INITIATE,live assignments 1–10; tutorial-adjacent only,TEXT | GRID,SCREEN_READER_DATA | KEYBOARD_ONLY | HIGH_CONTRAST | PRINTABLE_WORKSHEET,PUZCMP-ACCESSIBILITY-MODE-SWITCHER | PUZCMP-ANSWER-SUBMISSION | PUZCMP-GRID-VIEWPORT | PUZCMP-HINT-PANEL | PUZCMP-PRINTABLE-WORKSHEET | PUZCMP-TIMER-BANNER | PUZCMP-UNDO-RESET-HISTORY,"{""rating"":""SUPPORTED"",""shareable"":[""method"",""tool suggestions"",""partial deductions"",""research sources""],""nonShareable"":[""instance answer"",""validation token"",""server seed""]}",notes,NONE,1.0.0,EIGHT_CHARACTER_ALPHANUMERIC,"Normalize only blueprint-declared syntax, then compare with the server-held canonical representation using constant-time equality or validate the submitted arrangement/route against the server-held instance constraints. Client receives only a resolution receipt.","Generate two independent derivations and property-test the carrier, controls, and answer; reject any instance with a second valid parse.",10–30 minutes,Bobalus points toward the text language literary representation and suggests the first useful tool without naming an intermediate value.,"Bobalus identifies this operation: Map comma, period, colon, and dash to four cardinal moves; apply only marks that occur in one column at the same word boundary. He injects one instance-specific control label, never the final answer.",MEDIUM,FULL,86,TUTORIAL_CANDIDATE,false,false,true,false
PZB-003,Edition Drift Acrostic,"A materially transformed chapter-title concept uses a generated private edition: reordered headings, one omitted title, and edition metadata determine an acrostic. Static public chapter lists alone are insufficient.",TEXT_LANGUAGE_LITERARY,CRYPTO_NUMERIC_DATA,TIER_1_INITIATE,live assignments 1–10; tutorial-adjacent only,TEXT | METADATA,SCREEN_READER_DATA | KEYBOARD_ONLY | HIGH_CONTRAST | PRINTABLE_WORKSHEET,PUZCMP-ACCESSIBILITY-MODE-SWITCHER | PUZCMP-ANSWER-SUBMISSION | PUZCMP-HINT-PANEL | PUZCMP-PRINTABLE-WORKSHEET | PUZCMP-TIMER-BANNER | PUZCMP-UNDO-RESET-HISTORY,"{""rating"":""SUPPORTED"",""shareable"":[""method"",""tool suggestions"",""partial deductions"",""research sources""],""nonShareable"":[""instance answer"",""validation token"",""server seed""]}",notes,OPTIONAL_DOCUMENT_LOOKUP,1.0.0,ORDERED_SYMBOL_SEQUENCE,"Normalize only blueprint-declared syntax, then compare with the server-held canonical representation using constant-time equality or validate the submitted arrangement/route against the server-held instance constraints. Client receives only a resolution receipt.","Generate two independent derivations and property-test the carrier, controls, and answer; reject any instance with a second valid parse.",10–30 minutes,Bobalus points toward the text language literary representation and suggests the first useful tool without naming an intermediate value.,"Bobalus identifies this operation: Verify the instance edition ID, sort titles by generated folio marks, insert the omitted-title placeholder, then take edition-selected initials. He injects one instance-specific control label, never the final answer.",MEDIUM,FULL,82,TUTORIAL_CANDIDATE,false,false,true,false
PZB-004,Pangram Margin Index,Generated pangrams have apparently decorative margin numerals; only letters whose first occurrence lands on a numeral survive.,TEXT_LANGUAGE_LITERARY,CRYPTO_NUMERIC_DATA,TIER_1_INITIATE,live assignments 1–10; tutorial-adjacent only,TEXT,SCREEN_READER_DATA | KEYBOARD_ONLY | HIGH_CONTRAST | PRINTABLE_WORKSHEET,PUZCMP-ACCESSIBILITY-MODE-SWITCHER | PUZCMP-ANSWER-SUBMISSION | PUZCMP-HINT-PANEL | PUZCMP-PRINTABLE-WORKSHEET | PUZCMP-TIMER-BANNER | PUZCMP-UNDO-RESET-HISTORY,"{""rating"":""SUPPORTED"",""shareable"":[""method"",""tool suggestions"",""partial deductions"",""research sources""],""nonShareable"":[""instance answer"",""validation token"",""server seed""]}",notes,NONE,1.0.0,SHORT_PHRASE,"Normalize only blueprint-declared syntax, then compare with the server-held canonical representation using constant-time equality or validate the submitted arrangement/route against the server-held instance constraints. Client receives only a resolution receipt.",Blueprint-specific exhaustive/CSP/SAT-equivalent solver must return exactly one solution; proof digest is stored with the instance.,10–30 minutes,Bobalus points toward the text language literary representation and suggests the first useful tool without naming an intermediate value.,"Bobalus identifies this operation: Track first occurrence of A-Z in each pangram and select positions listed by the alternating margin index. He injects one instance-specific control label, never the final answer.",MEDIUM,FULL,86,STRONG_CANDIDATE,false,false,false,false
PZB-005,Palindrome Breath Marks,A prose recital contains breath marks. Reading clauses forward and backward exposes marks that fail palindromic symmetry.,TEXT_LANGUAGE_LITERARY,AUDIO_MUSIC_SPECTRAL,TIER_1_INITIATE,live assignments 1–10; tutorial-adjacent only,TEXT | AUDIO_CAPTION,CAPTIONS | TRANSCRIPT_WITH_PAUSE_MARKS | KEYBOARD_ONLY | DYSLEXIA_AWARE,PUZCMP-ACCESSIBILITY-MODE-SWITCHER | PUZCMP-ANSWER-SUBMISSION | PUZCMP-AUDIO-TRANSPORT | PUZCMP-HINT-PANEL | PUZCMP-TIMER-BANNER | PUZCMP-UNDO-RESET-HISTORY,"{""rating"":""SUPPORTED"",""shareable"":[""method"",""tool suggestions"",""partial deductions"",""research sources""],""nonShareable"":[""instance answer"",""validation token"",""server seed""]}",notes,NONE,1.0.0,COORDINATE,"Normalize only blueprint-declared syntax, then compare with the server-held canonical representation using constant-time equality or validate the submitted arrangement/route against the server-held instance constraints. Client receives only a resolution receipt.","Generate two independent derivations and property-test the carrier, controls, and answer; reject any instance with a second valid parse.",10–30 minutes,Bobalus points toward the text language literary representation and suggests the first useful tool without naming an intermediate value.,"Bobalus identifies this operation: Tokenize clauses, reverse their normalized phoneme labels, and collect unmatched pause ordinals. He injects one instance-specific control label, never the final answer.",MEDIUM,FULL,86,STRONG_CANDIDATE,false,false,false,false
PZB-006,Redacted Concordance,Three redacted documents share a concordance. The same black bar means different lengths; only cross-document word-frequency constraints recover the generated phrase.,TEXT_LANGUAGE_LITERARY,LOGIC_CONSTRAINT,TIER_4_MASTER,live assignments 27–43,TEXT,SCREEN_READER_DATA | KEYBOARD_ONLY | HIGH_CONTRAST | PRINTABLE_WORKSHEET,PUZCMP-ACCESSIBILITY-MODE-SWITCHER | PUZCMP-ANSWER-SUBMISSION | PUZCMP-COLLABORATION-PACKET | PUZCMP-HINT-PANEL | PUZCMP-PRINTABLE-WORKSHEET | PUZCMP-TIMER-BANNER | PUZCMP-UNDO-RESET-HISTORY,"{""rating"":""STRONG"",""divisibleTasks"":true,""shareable"":[""method"",""tool suggestions"",""partial deductions"",""research sources""],""nonShareable"":[""instance answer"",""validation token"",""server seed""]}",notes,OPTIONAL_CORPUS_LOOKUP,1.0.0,OBJECT_ARRANGEMENT_SIGNATURE,"Normalize only blueprint-declared syntax, then compare with the server-held canonical representation using constant-time equality or validate the submitted arrangement/route against the server-held instance constraints. Client receives only a resolution receipt.",Blueprint-specific exhaustive/CSP/SAT-equivalent solver must return exactly one solution; proof digest is stored with the instance.,3–8 hours,Bobalus points toward the text language literary representation and suggests the first useful tool without naming an intermediate value.,"Bobalus identifies this operation: Solve redaction lengths against a generated vocabulary and sentence grammar, then select the unique concordant phrase. He injects one instance-specific control label, never the final answer.",MEDIUM,FULL,88,STRONG_CANDIDATE,false,false,false,false
PZB-007,Footnote Dependency Graph,"Footnotes cite one another in a directed graph; dangling, circular, and unreachable notes encode different symbol classes.",TEXT_LANGUAGE_LITERARY,LOGIC_CONSTRAINT | CRYPTO_NUMERIC_DATA,TIER_4_MASTER,live assignments 27–43,TEXT | GRAPH,SCREEN_READER_DATA | KEYBOARD_ONLY | HIGH_CONTRAST | PRINTABLE_WORKSHEET,PUZCMP-ACCESSIBILITY-MODE-SWITCHER | PUZCMP-ANSWER-SUBMISSION | PUZCMP-COLLABORATION-PACKET | PUZCMP-HINT-PANEL | PUZCMP-PRINTABLE-WORKSHEET | PUZCMP-TIMER-BANNER | PUZCMP-UNDO-RESET-HISTORY,"{""rating"":""STRONG"",""divisibleTasks"":true,""shareable"":[""method"",""tool suggestions"",""partial deductions"",""research sources""],""nonShareable"":[""instance answer"",""validation token"",""server seed""]}",notes | graph paper | optional graph viewer,NONE,1.0.0,SIX_DIGIT_CODE,"Normalize only blueprint-declared syntax, then compare with the server-held canonical representation using constant-time equality or validate the submitted arrangement/route against the server-held instance constraints. Client receives only a resolution receipt.",Blueprint-specific exhaustive/CSP/SAT-equivalent solver must return exactly one solution; proof digest is stored with the instance.,3–8 hours,Bobalus points toward the text language literary representation and suggests the first useful tool without naming an intermediate value.,"Bobalus identifies this operation: Construct the citation graph, collapse strongly connected components, topologically order the remainder, and read component labels. He injects one instance-specific control label, never the final answer.",MEDIUM,FULL,88,STRONG_CANDIDATE,false,false,false,false
PZB-008,Homograph Ledger,A ledger uses generated homographs whose pronunciation or meaning changes by context. Sense tags hidden in accounting structure select the correct reading.,TEXT_LANGUAGE_LITERARY,HISTORICAL_RESEARCH,TIER_3_EXPERT,live assignments 16–32,TEXT,SCREEN_READER_DATA | KEYBOARD_ONLY | HIGH_CONTRAST | PRINTABLE_WORKSHEET,PUZCMP-ACCESSIBILITY-MODE-SWITCHER | PUZCMP-ANSWER-SUBMISSION | PUZCMP-COLLABORATION-PACKET | PUZCMP-HINT-PANEL | PUZCMP-PRINTABLE-WORKSHEET | PUZCMP-TIMER-BANNER | PUZCMP-UNDO-RESET-HISTORY,"{""rating"":""STRONG"",""divisibleTasks"":true,""shareable"":[""method"",""tool suggestions"",""partial deductions"",""research sources""],""nonShareable"":[""instance answer"",""validation token"",""server seed""]}",notes,RESPONSIBLE_DICTIONARY_RESEARCH,1.0.0,EIGHT_CHARACTER_ALPHANUMERIC,"Normalize only blueprint-declared syntax, then compare with the server-held canonical representation using constant-time equality or validate the submitted arrangement/route against the server-held instance constraints. Client receives only a resolution receipt.","Generate two independent derivations and property-test the carrier, controls, and answer; reject any instance with a second valid parse.",1–3 hours,Bobalus points toward the text language literary representation and suggests the first useful tool without naming an intermediate value.,"Bobalus identifies this operation: Classify each repeated spelling by grammatical role and ledger column, then translate sense ordinals to symbols. He injects one instance-specific control label, never the final answer.",MEDIUM,FULL,84,STRONG_CANDIDATE,false,false,false,false
PZB-009,Shuffled Micro-Narrative Reconstruction,"Inspired by the reconstructive satisfaction of Cain's Jawbone without reproducing its scale, forty generated fragments contain tense, weather, object-state, and speaker clues that establish one order.",TEXT_LANGUAGE_LITERARY,LOGIC_CONSTRAINT | HISTORICAL_RESEARCH,TIER_5_ORDEAL,live assignments 38–48 and authored finales,TEXT | TIMELINE | CARDS,SCREEN_READER_DATA | KEYBOARD_ONLY | HIGH_CONTRAST | PRINTABLE_WORKSHEET,PUZCMP-ACCESSIBILITY-MODE-SWITCHER | PUZCMP-ANSWER-SUBMISSION | PUZCMP-COLLABORATION-PACKET | PUZCMP-HINT-PANEL | PUZCMP-PRINTABLE-WORKSHEET | PUZCMP-TIMER-BANNER | PUZCMP-UNDO-RESET-HISTORY,"{""rating"":""STRONG"",""divisibleTasks"":true,""shareable"":[""method"",""tool suggestions"",""partial deductions"",""research sources""],""nonShareable"":[""instance answer"",""validation token"",""server seed""]}",notes,OPTIONAL_CONTEXT_RESEARCH,1.0.0,ORDERED_SYMBOL_SEQUENCE,"Normalize only blueprint-declared syntax, then compare with the server-held canonical representation using constant-time equality or validate the submitted arrangement/route against the server-held instance constraints. Client receives only a resolution receipt.",Blueprint-specific exhaustive/CSP/SAT-equivalent solver must return exactly one solution; proof digest is stored with the instance.,6–20 hours across sessions,Bobalus points toward the text language literary representation and suggests the first useful tool without naming an intermediate value.,"Bobalus identifies this operation: Build a precedence graph from internal state changes and temporal references; the unique topological order yields edge letters. He injects one instance-specific control label, never the final answer.",MEDIUM,FULL,88,HIGH_COMPLEXITY_SHOWPIECE,false,false,false,true
PZB-010,Ligature Frequency Layer,A typeset page alternates equivalent ligatures and letter pairs. Their distribution forms a low-resolution bitmap after reflow at the instructed width.,TEXT_LANGUAGE_LITERARY,VISUAL_COLOR_OPTICAL,TIER_1_INITIATE,live assignments 1–10; tutorial-adjacent only,TEXT | OPTICAL_BITMAP,SCREEN_READER_LIGATURE_TABLE | TEXT_SCALING | HIGH_CONTRAST | PRINTABLE_WORKSHEET,PUZCMP-ACCESSIBILITY-MODE-SWITCHER | PUZCMP-ANSWER-SUBMISSION | PUZCMP-GRID-VIEWPORT | PUZCMP-HINT-PANEL | PUZCMP-IMAGE-TRANSFORM | PUZCMP-PRINTABLE-WORKSHEET | PUZCMP-TIMER-BANNER | PUZCMP-UNDO-RESET-HISTORY,"{""rating"":""SUPPORTED"",""shareable"":[""method"",""tool suggestions"",""partial deductions"",""research sources""],""nonShareable"":[""instance answer"",""validation token"",""server seed""]}",notes,NONE,1.0.0,SHORT_PHRASE,"Normalize only blueprint-declared syntax, then compare with the server-held canonical representation using constant-time equality or validate the submitted arrangement/route against the server-held instance constraints. Client receives only a resolution receipt.","Generate two independent derivations and property-test the carrier, controls, and answer; reject any instance with a second valid parse.",10–30 minutes,Bobalus points toward the text language literary representation and suggests the first useful tool without naming an intermediate value.,"Bobalus identifies this operation: Reflow to the generated column width, mark ligature versus expanded pair, and decode the resulting bitmap font. He injects one instance-specific control label, never the final answer.",MEDIUM,FULL,86,STRONG_CANDIDATE,false,false,false,false
